metric_id,sector,metric_name,value_ww,value_uk,unit,source_name,source_url,as_of_date,confidence,notes
A.IELTS.ww_sittings,A,WW IELTS annual sittings,~3.5 m,–,test sittings / yr,IELTS Partners — Test Taker Performance Report,https://www.ielts.org/teaching-and-research/test-statistics/test-taker-performance,2022/23,V,"Source: D2 §11. Annual aggregate across Academic + General Training."
A.market.ww_prep_total,A,WW IELTS prep market,£2–3 bn,–,GBP / yr,Grand View Research 2024 (PDF in HFF Drive),–,2024,V,"Source: D2 §11. URL TBD — source held in HFF Drive PDF; replace with the GVR public landing page during verification week."
A.market.uk_tam,A,UK Adult Language Cert TAM (IELTS / OET / TOEFL / PTE / DET),£2–3 bn (= ww_prep_total),£300–500 m,GBP / yr,D2 portfolio table §3,–,2025,V/E,"UK figure is contracted spend; WW figure is total prep market."
B.market.uk_tam,B,UK Health & Care Pro Registration TAM,–,£180–290 m,GBP / yr,D2 §4.4 bottom-up build,–,2025,E,"V on inputs; total is estimate. Cross-checked against NAO £200 m + NHS Confed unit costs."
C.market.uk_tam,C,UK University-bound Journey TAM (pathway + pre-sessional),–,£400–600 m,GBP / yr,D2 portfolio table §3,–,2025,V,"Source: D2 §3."
C.market.ww_he_intl_student_spend,C,WW HE international student spend,"$30–50 bn",–,USD / yr,D2 portfolio table §3,–,2025,V,"Cross-check — total HE intl spend, not pure pathway."
D.market.uk_tam,D,UK Regulated Pro Exams one-shot portfolio TAM (PLAB / SQE / MRCP / ACCA / NEBOSH),–,~£500 m,GBP / yr,D2 portfolio table §3,–,2025,E,"Source: D2 §3."
D.market.ww_tam,D,WW Regulated Pro Exams portfolio TAM,"$5–8 bn",–,USD / yr,D2 portfolio table §3,–,2025,E,"Source: D2 §3."
E.market.uk_tam,E,UK Corporate Compliance Training TAM,–,£2–4 bn,GBP / yr,D2 portfolio table §3,–,2025,V,"Source: D2 §3."
E.market.ww_tam,E,WW Corporate Compliance Training TAM,"$30–40 bn",–,USD / yr,D2 portfolio table §3,–,2025,V,"Source: D2 §3."
F.market.uk_tam,F,UK K-12 Mainstream TAM,–,£1.5 bn,GBP / yr,D2 portfolio table §3,–,2025,V,"Source: D2 §3."
F.market.ww_tam,F,WW K-12 Mainstream TAM,"$20 bn+",–,USD / yr,D2 portfolio table §3,–,2025,V,"Source: D2 §3."
G.market.uk_tam,G,UK CPD Meta-sector TAM,–,£1.5–7.6 bn,GBP / yr,D2 portfolio table §3,–,2025,E,"Wide range reflects definitional uncertainty across CPD-mandated bodies. Tighten in D3."
B.NMC.register_total,B,NMC register total,–,826 k,registrants,NMC Annual Register Report,https://www.nmc.org.uk/about-us/reports-and-accounts/registration-statistics/,2025-03,V,"Nurses + midwives + nursing associates."
B.NMC.intl_joiners,B,NMC international joiners per year,–,22–26 k,joiners / yr,NMC Annual Report 2023/24 + Quarterly Reports,https://www.nmc.org.uk/about-us/reports-and-accounts/,2023–25,V,"Source: D2 §4.2 + §11."
B.GMC.register_total,B,GMC register total,–,334 k,registrants,GMC State of Medical Education and Practice (SoMEP) 2024,https://www.gmc-uk.org/about/what-we-do-and-why/data-and-research/the-state-of-medical-education-and-practice-in-the-uk,2024,V,"Doctors."
B.GMC.intl_joiners,B,GMC international joiners per year,–,14–16 k,joiners / yr,GMC SoMEP 2024,https://www.gmc-uk.org/about/what-we-do-and-why/data-and-research/the-state-of-medical-education-and-practice-in-the-uk,2024,V,"Of which PLAB ~3 k per year."
B.GMC.plab_candidates,B,GMC PLAB cohort per year,–,~3 k,candidates / yr,GMC SoMEP 2024,https://www.gmc-uk.org/about/what-we-do-and-why/data-and-research/the-state-of-medical-education-and-practice-in-the-uk,2024,V,"PLAB = Professional and Linguistic Assessments Board."
B.HCPC.register_total,B,HCPC register total,–,340 k,registrants,HCPC Annual Report,https://www.hcpc-uk.org/resources/reports/,2024,V,"Covers 15 allied health professions."
B.HCPC.intl_joiners,B,HCPC international joiners per year,–,5–7 k,joiners / yr,HCPC Annual Stats 2024,https://www.hcpc-uk.org/resources/reports/,2024,V,"Source: D2 §4.2."
B.GPhC.register_total,B,GPhC register total,–,70 k,registrants,GPhC Annual Report 2024,https://www.pharmacyregulation.org/about-us/who-we-are/reports,2024,V,"Pharmacists."
B.GPhC.intl_joiners,B,GPhC international joiners per year,–,1–2 k,joiners / yr,GPhC Annual Report 2024,https://www.pharmacyregulation.org/about-us/who-we-are/reports,2024,V,"Source: D2 §4.2."
B.GDC.register_total,B,GDC register total,–,120 k,registrants,GDC Annual Report 2024,https://www.gdc-uk.org/about-us/who-we-are/our-reports,2024,V,"Dentists."
B.GDC.intl_joiners,B,GDC international joiners per year,–,1–2 k,joiners / yr,GDC Annual Report 2024,https://www.gdc-uk.org/about-us/who-we-are/our-reports,2024,V,"Source: D2 §4.2."
B.SWE.register_total,B,SWE register total,–,100 k,registrants,SWE Annual Report 2024,https://www.socialworkengland.org.uk/about/our-publications/,2024,V,"Social workers."
B.SWE.intl_joiners,B,SWE international joiners per year,–,2–4 k,joiners / yr,SWE Annual Report 2024,https://www.socialworkengland.org.uk/about/our-publications/,2024,V,"Source: D2 §4.2."
B.smaller_regulators.register_total,B,Smaller-body register total (GOC + GOsC + GCC),–,~40 k,registrants,Individual body annual reports,–,2024,V,"GOC = General Optical Council; GOsC = General Osteopathic Council; GCC = General Chiropractic Council. URLs TBD."
B.regulators.total_register,B,Total Sector B regulator register,–,~1.83 m,registrants,D2 §4.2 rollup,–,2024–25,V,"Sum of all 9 statutory regulators."
B.regulators.total_intl_joiners,B,Total Sector B international joiners per year,–,~50–60 k,joiners / yr,D2 §4.2 rollup,–,2024–25,V,"Sum across regulators."
B.NMC.english_prep_tam,B,UK NMC nurse English-prep TAM,–,£50–110 m,GBP / yr,D2 §4.4 bottom-up,–,2025,E,"Build: 45 k × £1,200 (base) → 50 k × £2,200 (upper)."
B.OSCE.prep_tam,B,UK NMC OSCE clinical-prep TAM,–,£40–60 m,GBP / yr,D2 §4.4 bottom-up,–,2025,E,"Build: 25 k × £1.5–2.5 k. Flagged for verification: OSCE TAM."
B.CBT.prep_tam,B,UK NMC CBT knowledge-prep TAM,–,£10–20 m,GBP / yr,D2 §4.4 bottom-up,–,2025,E,"Build: 25 k × £400–800."
B.HCPC.english_prep_tam,B,UK HCPC AHP English-prep TAM,–,£6 m,GBP / yr,D2 §4.4 bottom-up,–,2025,E,"Build: 5 k × £1,200."
B.GMC.plab_prep_tam,B,UK GMC PLAB English+exam-prep TAM,–,£6 m,GBP / yr,D2 §4.4 bottom-up,–,2025,E,"Build: 3 k × £2,000."
B.social_care.english_prep_tam,B,UK social-care-worker English-prep TAM,–,£18 m,GBP / yr,D2 §4.4 bottom-up,–,2025,E,"Build: 30 k × £600."
B.adaptation.first_year_tam,B,UK first-year adaptation / preceptorship TAM,–,£50–75 m,GBP / yr,D2 §4.4 bottom-up,–,2025,E,"Build: 25 k × £2–3 k."
B.NHS.overseas_nurse_recruitment_spend,B,NHS overseas-nurse total recruitment spend,–,~£200 m,GBP / yr,"NAO Report ""Recovering the cost of recruitment""",https://www.nao.org.uk/reports/recovering-the-cost-of-recruitment/,2023,V,"Cross-check on §4.4 bottom-up. NAO figure is gross spend; net figure flagged for verification."
B.NHS.cost_per_nurse_placement,B,NHS cost per overseas nurse placement,–,£10–15 k,GBP per placement,NHS Confederation,https://www.nhsconfed.org/,2023,V,"Cross-check on §4.4 bottom-up."
B.OSCE.annual_candidates,B,NMC OSCE candidates per year,–,~25 k,candidates / yr,NMC OSCE statistics,https://www.nmc.org.uk/registration/joining-the-register/trained-outside-the-eueea/objective-structured-clinical-examination/,2024–25,V,"4 test centres."
B.IRA.list_size,B,IRAs on NHS Employers Ethical Recruiters Code-of-Practice list,–,~330,agencies,NHS Employers Code of Practice for International Recruitment,https://www.nhsemployers.org/articles/code-practice-international-recruitment,2024 (quarterly),V,"Refreshed quarterly. Full agency-by-agency list seeds D5."
B.WHO.red_list_countries,B,WHO Red List source-country count,–,55,countries,WHO Health Workforce Support and Safeguards List,https://www.who.int/publications/i/item/9789240069128,2023,V,"Countries from which active overseas recruitment is discouraged."
B.IELTS.first_attempt_pass_rate,B,Healthcare first-attempt IELTS-speaking-7.0 pass rate,–,30–40 %,% of candidates,IELTS Partners + OET disaggregated band distribution,https://www.ielts.org/teaching-and-research/test-statistics/test-taker-performance,2022/23,E,"D2 §11 verification target #1. Pull IELTS Partners disaggregated data by occupation; OET published band distribution. Effort: 2 days."
B.candidate.english_prep_spend,B,Per-candidate English-prep spend (UK overseas nurse),–,£1,000–2,500,GBP per candidate,"Bottom-up: courses + 1:1 tuition + retakes",–,2025,E,"D2 §11 verification target #2. Confirm via 5–10 IRA exec interviews. Effort: 1 week."
B.IRA.top5_share,B,IRA market share — Top 5 firms of UK overseas-nurse flow,–,~50 %,% of placements,"Industry consensus (D2 §11)",–,2024,E,"D2 §11 verification target #3. Verify via Companies House revenue for all 330 IRAs + FOI'd top-30 NHS Trust IRA contracts. Effort: 1 week."
B.OSCE.tam_verify,B,UK OSCE-prep TAM (verification target),–,£40–60 m,GBP / yr,NMC OSCE candidate count × commercial OSCE-prep provider price points,–,2025,E,"D2 §11 verification target #4. Effort: 2 days. Currently same as B.OSCE.prep_tam — re-run with verified price points."
B.NHS.overseas_nurse_net_spend,B,NHS overseas-nurse net spend per year (verification target),–,~£200 m,GBP / yr,"NAO figure is gross — FOI NHSE Workforce, Training & Education programme accounts",–,2023,E,"D2 §11 verification target #5. Effort: 2 weeks."
B.IRA.cost_per_failed_candidate,B,IRA cost per failed IELTS candidate,–,~£12 k,GBP per failure,NHS Confederation unit-cost figures,https://www.nhsconfed.org/,2023,V,"Source: D2 §6.1 + D8 §2. Sunk recruitment + relocation cost."
B.pilot.price_flat,B,Standard pilot price (50 candidates × 8 weeks),–,£15 k,GBP flat,D2 §5.4 + §7.2 pilot agreement,–,2026,V,"HFF commercial standard for Phase 1."
B.pilot.cohort_size,B,Standard pilot cohort size,–,50,candidates,D2 §7.2 pilot agreement,–,2026,V,"NMC track, speaking-band 6.0–6.5."
B.pilot.duration_weeks,B,Standard pilot duration,–,8,weeks,D2 §7.2 pilot agreement,–,2026,V,"From kickoff to outcome read-out."
B.contract.arpu_per_candidate,B,Annual-contract ARPU per candidate,–,£600–900,GBP per candidate / yr,D2 §5.4 + D8 §9,–,2026,V,"£600 (volume tier) → £900 (lower tier). 12-month auto-renew."
B.contract.annual_per_ira,B,Annual contract value per IRA,–,£200–300 k,GBP / yr / IRA,D2 §5.4,–,2026,E,"Range covers 300–500 candidates × blended ARPU."
B.contract.arpu_blended,B,Blended ARPU per candidate (Phase 1),–,£600–900,GBP per candidate,D2 §5.4,–,2026,E,"Same as annual-contract ARPU; restated as blended for ops."
B.NHS.trust_count,B,Number of NHS Trusts (direct-recruiting),–,217,Trusts,D2 §6.4 + D8 §3.4,–,2025,V,"Phase 2 channel. Lead candidates: Barts, Imperial, Manchester FT."
B.IRA.yourworld.likely_arr,B,Yourworld Healthcare likely annual ARR,–,£200–300 k,GBP / yr,D8 §3 Tier 1,–,2026,E,"Largest UK IRA by nurse-placement volume. NHS Employers List."
B.IRA.hcl.likely_arr,B,HCL Workforce Solutions likely annual ARR,–,£200–300 k,GBP / yr,D8 §3 Tier 1,–,2026,E,"Already bundles English + OSCE; tech-curious."
B.IRA.sanctuary.likely_arr,B,Sanctuary Personnel likely annual ARR,–,£150–250 k,GBP / yr,D8 §3 Tier 1,–,2026,E,"Wide AHP + social-work flow → adjacency proof."
B.IRA.greenstaff.likely_arr,B,Greenstaff Medical likely annual ARR,–,£150–250 k,GBP / yr,D8 §3 Tier 1,–,2026,E,"Heavy India / Philippines pipeline."
B.IRA.globe_locums.likely_arr,B,Globe Locums likely annual ARR,–,£100–200 k,GBP / yr,D8 §3 Tier 1,–,2026,E,"AHP-heavy (HCPC adjacency proof)."
B.outbound.cold_response_rate,B,Outbound cold-email response rate,–,15 %,% of outbound,D2 §6.3 conversion economics,–,2026,E,"HFF assumption — track in Phase 1."
B.outbound.warm_intro_rate,B,Outbound warm-intro response rate,–,50 %,% of outbound,D2 §6.3 conversion economics,–,2026,E,"HFF assumption — track in Phase 1."
B.outbound.response_to_discovery,B,Response → discovery-call conversion,–,80 %,% of responses,D2 §6.3 conversion economics,–,2026,E,"HFF assumption — track in Phase 1."
B.outbound.discovery_to_scoping,B,Discovery → pilot-scoping conversion,–,50 %,% of discovery calls,D2 §6.3 conversion economics,–,2026,E,"HFF assumption — track in Phase 1."
B.outbound.scoping_to_signed,B,Scoping → signed pilot conversion,–,60 %,% of scoping convos,D2 §6.3 conversion economics,–,2026,E,"HFF assumption — track in Phase 1."
B.outbound.pilot_to_paid,B,Pilot → paid annual contract conversion,–,60 %,% of pilots,D2 §6.3 conversion economics,–,2026,E,"Gated on the 3 success-criteria hypotheses (D2 §7.1)."
B.phase1.arr_target,B,Phase-1 ARR target,–,£500 k – £1.2 m,GBP / yr,D2 §6.3 + D8 §1,–,2026,T,"Target — read as forecast, not metric."
B.phase1.som_3yr,B,3-year SOM target,–,£8–20 m,GBP ARR,D2 §1 + D8 §1,–,2028,T,"Target — read as forecast, not metric."
B.phase1.touches_w52,B,Phase-1 outbound touches at week 52,–,300,touches,D8 §10 KPI dashboard,–,2026,T,"Plan target, not measured value."
B.phase1.discovery_w52,B,Phase-1 discovery calls at week 52,–,60,calls,D8 §10 KPI dashboard,–,2026,T,"Plan target."
B.phase1.pilots_signed_w52,B,Phase-1 pilots signed at week 52,–,8,pilots,D8 §10 KPI dashboard,–,2026,T,"Plan target."
B.phase1.pilots_paid_w52,B,Phase-1 pilots converted to paid at week 52,–,5,paid contracts,D8 §10 KPI dashboard,–,2026,T,"Plan target."
meta.tooling.sales_nav_monthly,–,LinkedIn Sales Navigator monthly cost,–,£90,GBP / mo,D8 §11 resource needs,–,2026,V,"Per BD ops seat."
meta.tooling.crm_monthly,–,HubSpot / Pipedrive CRM monthly cost,–,£50,GBP / mo,D8 §11 resource needs,–,2026,V,"HFF entry-tier CRM."
meta.tooling.loom_monthly,–,Loom monthly cost,–,£10,GBP / mo,D8 §11 resource needs,–,2026,V,"Async demo capture."
